Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HE=F,HE=F,HE=F,HE=F,HE=F,HE=F
Date,,,,,,
2006-01-03,64.6500015258789,64.6500015258789,65.3499984741211,63.775001525878906,65.3499984741211,9914
2006-01-04,64.05000305175781,64.05000305175781,64.8499984741211,63.900001525878906,64.8499984741211,8252
2006-01-05,64.625,64.625,64.30000305175781,63.849998474121094,64.30000305175781,8572
2006-01-06,64.4749984741211,64.4749984741211,65.19999694824219,64.4000015258789,64.6500015258789,10075
2006-01-09,64.67500305175781,64.67500305175781,65.30000305175781,64.3499984741211,64.80000305175781,13477
2006-01-10,62.67499923706055,62.67499923706055,64.375,62.70000076293945,64.25,21204
2006-01-11,60.67499923706055,60.67499923706055,62.400001525878906,60.67499923706055,62.400001525878906,17241
2006-01-12,59.775001525878906,59.775001525878906,60.79999923706055,60.0,60.599998474121094,27152
2006-01-13,59.0,59.0,59.974998474121094,58.82500076293945,59.75,19402
2006-01-17,59.474998474121094,59.474998474121094,59.95000076293945,59.150001525878906,59.5,14009
2006-01-18,58.150001525878906,58.150001525878906,59.25,58.79999923706055,59.17499923706055,11878
2006-01-19,58.650001525878906,58.650001525878906,58.95000076293945,58.349998474121094,58.900001525878906,10638
2006-01-20,59.25,59.25,59.04999923706055,58.900001525878906,58.900001525878906,6292
2006-01-23,59.099998474121094,59.099998474121094,59.29999923706055,58.5,59.20000076293945,6332
2006-01-24,57.775001525878906,57.775001525878906,59.099998474121094,57.599998474121094,59.099998474121094,7278
2006-01-25,57.349998474121094,57.349998474121094,57.5,57.099998474121094,57.5,6489
2006-01-26,57.17499923706055,57.17499923706055,57.400001525878906,57.0,57.150001525878906,5404
2006-01-27,56.25,56.25,57.099998474121094,55.17499923706055,56.849998474121094,5329
2006-01-30,56.07500076293945,56.07500076293945,56.224998474121094,55.95000076293945,56.0,4823
2006-01-31,55.95000076293945,55.95000076293945,56.25,55.599998474121094,56.25,4363
2006-02-01,56.224998474121094,56.224998474121094,56.29999923706055,55.75,56.17499923706055,2796
2006-02-02,54.54999923706055,54.54999923706055,55.349998474121094,54.224998474121094,55.349998474121094,3433
2006-02-03,55.025001525878906,55.025001525878906,55.0,54.5,54.5,4172
2006-02-06,55.625,55.625,55.349998474121094,55.04999923706055,55.04999923706055,2744
2006-02-07,56.625,56.625,56.45000076293945,56.0,56.25,2759
2006-02-08,57.349998474121094,57.349998474121094,57.20000076293945,56.79999923706055,57.20000076293945,3608
2006-02-09,57.625,57.625,57.650001525878906,57.29999923706055,57.45000076293945,1889
2006-02-10,58.54999923706055,58.54999923706055,58.5,58.150001525878906,58.150001525878906,2268
2006-02-13,58.875,58.875,58.900001525878906,58.849998474121094,58.900001525878906,1853
2006-02-14,58.92499923706055,58.92499923706055,59.099998474121094,58.5,59.099998474121094,7900
2006-02-15,61.474998474121094,61.474998474121094,63.42499923706055,60.92499923706055,63.099998474121094,14711
2006-02-16,61.625,61.625,62.0,61.150001525878906,62.0,7496
2006-02-17,63.17499923706055,63.17499923706055,63.25,61.875,61.875,8667
2006-02-21,63.25,63.25,63.5,62.95000076293945,63.5,7329
2006-02-22,62.025001525878906,62.025001525878906,63.20000076293945,61.349998474121094,63.20000076293945,9990
2006-02-23,61.95000076293945,61.95000076293945,62.5,61.54999923706055,62.29999923706055,8507
2006-02-24,61.42499923706055,61.42499923706055,62.04999923706055,61.099998474121094,62.04999923706055,7718
2006-02-27,62.125,62.125,62.099998474121094,61.5,61.75,8338
2006-02-28,61.474998474121094,61.474998474121094,61.849998474121094,61.25,61.42499923706055,10904
2006-03-01,62.70000076293945,62.70000076293945,62.849998474121094,62.150001525878906,62.349998474121094,14820
2006-03-02,62.0,62.0,63.20000076293945,62.125,62.974998474121094,11721
2006-03-03,62.0,62.0,62.650001525878906,61.900001525878906,62.5,8902
2006-03-06,60.775001525878906,60.775001525878906,62.275001525878906,60.79999923706055,62.04999923706055,15441
2006-03-07,59.400001525878906,59.400001525878906,60.45000076293945,59.0,60.45000076293945,22227
2006-03-08,59.150001525878906,59.150001525878906,59.5,58.724998474121094,59.400001525878906,20474
2006-03-09,58.650001525878906,58.650001525878906,59.29999923706055,58.67499923706055,58.849998474121094,16721
