timestamp,open,high,low,close,volume
2026-05-04 04:00:00,721.8,721.9813,720.34,721.3,9543
2026-05-04 04:01:00,722,722,721.32,721.4,670
2026-05-04 04:02:00,721.47,721.47,721.37,721.37,271
2026-05-04 04:03:00,721.18,722.34,720.96,721.32,12116
2026-05-04 04:04:00,721.48,722.33,720.92,720.92,15740
2026-05-04 04:06:00,720.74,720.74,720.54,720.54,202
2026-05-04 04:07:00,720.65,720.89,720.65,720.89,518
2026-05-04 04:08:00,720.8,722.21,720.71,722.21,902
2026-05-04 04:09:00,721.9,722.06,720.85,721,1016
2026-05-04 04:10:00,721,721.03,720.97,721.01,999
2026-05-04 04:11:00,721,721,720.9,720.93,469
2026-05-04 04:12:00,720.9,720.9,720.87,720.9,888
2026-05-04 04:13:00,720.8702,720.88,720.86,720.88,321
2026-05-04 04:14:00,720.95,720.99,720.95,720.99,1191
2026-05-04 04:15:00,720.84,720.84,720.84,720.84,41
2026-05-04 04:16:00,720.81,720.85,720.81,720.85,454
2026-05-04 04:17:00,720.83,720.83,720.798,720.798,140
2026-05-04 04:18:00,720.71,720.72,720.69,720.72,472
2026-05-04 04:19:00,720.75,720.75,720.7,720.7,140
2026-05-04 04:20:00,720.84,720.84,720.84,720.84,78
2026-05-04 04:21:00,720.93,720.93,720.93,720.93,116
2026-05-04 04:24:00,721.01,721.04,720.99,720.99,262
2026-05-04 04:25:00,721.16,721.16,721.16,721.16,40
2026-05-04 04:26:00,721.2,721.23,721.15,721.15,251
2026-05-04 04:27:00,721.1386,721.155,721.1375,721.1375,293
2026-05-04 04:28:00,721.1819,721.22,721.1819,721.22,143
2026-05-04 04:29:00,721.3,721.3,721.3,721.3,103
2026-05-04 04:30:00,721.4,721.4367,721.4,721.43,1168
2026-05-04 04:31:00,721.32,721.39,721.32,721.39,1018
2026-05-04 04:33:00,721.2,721.2,721.12,721.155,131
2026-05-04 04:34:00,721.15,721.15,721.15,721.15,50
2026-05-04 04:36:00,721.35,721.37,721.35,721.37,90
2026-05-04 04:37:00,721.35,721.35,721.35,721.35,69
2026-05-04 04:39:00,721.35,721.39,721.35,721.35,1505
2026-05-04 04:44:00,721.29,721.36,721.29,721.31,1397
2026-05-04 04:45:00,721.34,721.36,721.34,721.36,769
2026-05-04 04:46:00,721.27,721.29,721.27,721.29,153
2026-05-04 04:47:00,721.36,721.36,721.36,721.36,40
2026-05-04 04:48:00,721.27,721.35,721.24,721.35,508
2026-05-04 04:49:00,721.37,721.37,721.36,721.36,154
2026-05-04 04:50:00,721.31,721.31,721.31,721.31,40
2026-05-04 04:52:00,721.17,721.18,721.17,721.17,310
2026-05-04 04:54:00,721.38,721.38,721.32,721.32,388
2026-05-04 04:55:00,721.38,721.44,721.38,721.42,380
