timestamp,open,high,low,close,volume
2026-05-04,720.07,722.12,714.99,718.01,51950558
2026-05-05,721.77,725.04,721.4898,723.77,36933226
2026-05-06,728.16,734.59,727.82,733.83,53288940
2026-05-07,735.05,736.13,729.75,731.58,51724642
2026-05-08,734.93,738.08,734.57,737.62,47227085
2026-05-11,736.45,740.79,736.45,739.3,44023951
2026-05-12,736.89,738.84,731.83,738.18,54185273
2026-05-13,738.47,743.91,735.47,742.31,44200203
2026-05-14,743.65,749.53,743.56,748.17,45307603
2026-05-15,741.79,743.46,737.96,739.17,60410771
2026-05-18,739.83,741.415,733.39,738.65,47843865
