timestamp,open,high,low,close
2026-05-11 09:30:00,7385.31,7392.30,7384.20,7391.21
2026-05-11 09:31:00,7391.68,7395.42,7390.65,7395.14
2026-05-11 09:32:00,7395.45,7399.07,7393.62,7399.07
2026-05-11 09:33:00,7399.00,7400.38,7398.08,7399.74
2026-05-11 09:34:00,7399.81,7401.05,7398.76,7401.05
2026-05-11 09:35:00,7401.28,7401.28,7395.86,7396.53
2026-05-11 09:36:00,7396.48,7398.39,7395.26,7396.08
2026-05-11 09:37:00,7396.79,7399.50,7396.40,7396.93
2026-05-11 09:38:00,7397.41,7400.23,7396.27,7400.23
2026-05-11 09:39:00,7399.89,7400.22,7397.45,7398.36
2026-05-11 09:40:00,7398.51,7400.31,7397.27,7399.91
2026-05-11 09:41:00,7400.67,7403.07,7399.22,7401.53
2026-05-11 09:42:00,7401.86,7402.33,7399.70,7400.09
2026-05-11 09:43:00,7400.23,7403.53,7399.70,7402.73
2026-05-11 09:44:00,7403.18,7405.79,7403.18,7405.63
2026-05-11 09:45:00,7405.67,7408.78,7405.60,7408.34
2026-05-11 09:46:00,7409.27,7410.68,7408.95,7409.29
2026-05-11 09:47:00,7408.82,7411.23,7408.68,7410.98
2026-05-11 09:48:00,7410.75,7414.12,7409.47,7413.89
2026-05-11 09:49:00,7413.93,7413.93,7408.55,7409.21
2026-05-11 09:50:00,7409.05,7412.98,7408.52,7410.26
2026-05-11 09:51:00,7409.89,7411.88,7409.04,7409.59
2026-05-11 09:52:00,7409.33,7411.23,7408.73,7410.45
2026-05-11 09:53:00,7410.35,7411.43,7408.21,7408.21
2026-05-11 09:54:00,7408.45,7408.51,7405.29,7407.00
2026-05-11 09:55:00,7406.94,7407.23,7404.46,7406.54
2026-05-11 09:56:00,7406.37,7406.90,7404.33,7405.22
2026-05-11 09:57:00,7405.69,7406.84,7404.93,7405.70
2026-05-11 09:58:00,7406.50,7409.20,7405.81,7408.91
2026-05-11 09:59:00,7409.01,7409.01,7405.57,7407.84
2026-05-11 10:00:00,7409.28,7410.30,7407.24,7407.73
2026-05-11 10:01:00,7407.86,7410.24,7407.86,7409.29
2026-05-11 10:02:00,7409.07,7409.07,7406.36,7408.00
2026-05-11 10:03:00,7408.01,7408.99,7407.57,7407.96
2026-05-11 10:04:00,7407.92,7409.12,7407.57,7407.73
2026-05-11 10:05:00,7407.49,7409.13,7407.25,7408.52
2026-05-11 10:06:00,7408.66,7409.03,7407.85,7408.19
2026-05-11 10:07:00,7407.96,7410.40,7407.96,7409.23
2026-05-11 10:08:00,7409.26,7410.46,7408.77,7409.53
2026-05-11 10:09:00,7408.99,7409.84,7407.92,7409.07
2026-05-11 10:10:00,7409.40,7410.74,7407.98,7410.48
2026-05-11 10:11:00,7410.38,7410.38,7406.61,7408.51
2026-05-11 10:12:00,7408.30,7410.13,7407.89,7409.27
2026-05-11 10:13:00,7409.81,7411.21,7409.01,7411.10
2026-05-11 10:14:00,7411.00,7412.29,7410.56,7412.29
2026-05-11 10:15:00,7412.28,7413.54,7411.09,7413.30
2026-05-11 10:16:00,7413.37,7415.49,7412.89,7415.32
2026-05-11 10:17:00,7415.41,7415.85,7412.89,7414.02
2026-05-11 10:18:00,7414.12,7416.09,7413.30,7415.80
2026-05-11 10:19:00,7415.70,7416.60,7415.33,7415.91
2026-05-11 10:20:00,7415.67,7416.55,7415.15,7415.58
2026-05-11 10:21:00,7415.79,7416.94,7415.74,7416.66
2026-05-11 10:22:00,7416.59,7417.53,7415.51,7417.26
2026-05-11 10:23:00,7417.29,7417.51,7416.36,7416.64
2026-05-11 10:24:00,7416.49,7417.78,7415.86,7415.94
2026-05-11 10:25:00,7416.00,7417.27,7415.94,7415.96
2026-05-11 10:26:00,7416.10,7416.33,7414.17,7414.58
2026-05-11 10:27:00,7414.49,7414.49,7410.26,7410.86
2026-05-11 10:28:00,7410.67,7411.00,7408.99,7409.04
2026-05-11 10:29:00,7408.83,7408.89,7405.51,7405.78
2026-05-11 10:30:00,7405.81,7408.68,7404.96,7406.80
2026-05-11 10:31:00,7406.46,7407.23,7398.83,7399.96
2026-05-11 10:32:00,7399.82,7402.43,7397.64,7401.52
2026-05-11 10:33:00,7401.61,7404.54,7400.89,7403.37
2026-05-11 10:34:00,7403.31,7405.42,7402.48,7405.42
2026-05-11 10:35:00,7405.44,7407.66,7404.13,7407.33
2026-05-11 10:36:00,7407.61,7409.21,7404.41,7407.08
2026-05-11 10:37:00,7406.99,7408.28,7406.13,7407.98
2026-05-11 10:38:00,7407.93,7408.12,7406.46,7406.80
2026-05-11 10:39:00,7406.42,7408.06,7406.27,7407.68
2026-05-11 10:40:00,7407.78,7409.33,7407.64,7408.85
2026-05-11 10:41:00,7408.92,7411.12,7408.85,7411.12
2026-05-11 10:42:00,7411.30,7411.86,7410.29,7410.50
2026-05-11 10:43:00,7410.52,7412.47,7410.26,7410.91
2026-05-11 10:44:00,7410.75,7411.70,7410.41,7410.79
2026-05-11 10:45:00,7410.97,7412.87,7410.96,7411.31
2026-05-11 10:46:00,7411.27,7412.16,7409.68,7412.00
2026-05-11 10:47:00,7412.02,7412.21,7410.73,7411.36
2026-05-11 10:48:00,7411.42,7412.27,7410.59,7411.48
2026-05-11 10:49:00,7411.52,7412.73,7408.75,7412.69
2026-05-11 10:50:00,7412.73,7413.44,7411.60,7412.98
2026-05-11 10:51:00,7412.97,7417.27,7412.97,7416.67
2026-05-11 10:52:00,7416.40,7417.42,7416.00,7416.98
2026-05-11 10:53:00,7417.07,7420.18,7416.55,7419.48
2026-05-11 10:54:00,7419.57,7419.61,7418.18,7419.38
2026-05-11 10:55:00,7419.52,7421.11,7418.70,7418.70
2026-05-11 10:56:00,7418.68,7419.07,7416.47,7416.85
2026-05-11 10:57:00,7416.87,7417.93,7415.09,7417.93
2026-05-11 10:58:00,7417.85,7418.56,7417.50,7417.72
2026-05-11 10:59:00,7418.28,7418.38,7417.33,7417.93
2026-05-11 11:00:00,7418.02,7418.90,7416.48,7416.58
2026-05-11 11:01:00,7416.50,7416.87,7415.49,7415.90
2026-05-11 11:02:00,7415.73,7416.86,7415.46,7416.80
2026-05-11 11:03:00,7416.72,7417.53,7416.37,7417.10
2026-05-11 11:04:00,7417.02,7418.26,7416.46,7417.51
2026-05-11 11:05:00,7417.55,7418.15,7415.85,7417.71
2026-05-11 11:06:00,7417.46,7417.72,7415.88,7416.82
2026-05-11 11:07:00,7416.62,7418.32,7416.62,7418.22
2026-05-11 11:08:00,7418.39,7418.41,7416.72,7418.25
2026-05-11 11:09:00,7418.23,7418.96,7417.70,7418.49
2026-05-11 11:10:00,7418.59,7418.59,7416.20,7416.20
2026-05-11 11:11:00,7416.19,7417.75,7415.77,7415.77
